CaseID,CustomerID,CreatedDate,CaseCategory,CaseStatus
278,741,2025-06-09,Complaint,Resolved
279,428,2026-06-11,Invoice Query,Open
280,306,2025-11-24,Portal Login,Open
281,134,2025-10-15,Card Issue,Waiting Customer
282,713,2025-06-07,Invoice Query,Resolved
283,805,2025-02-23,Invoice Query,Open
284,282,2026-05-29,Card Issue,Resolved
285,277,2025-06-16,Pricing Query,Resolved
286,149,2025-08-17,Card Issue,Resolved
287,35,2025-09-10,Pricing Query,Resolved
288,713,2025-10-10,Network Acceptance,Resolved
289,316,2025-06-15,Card Issue,Resolved
290,618,2026-06-23,Network Acceptance,Resolved
291,531,2025-04-26,Credit Limit,Resolved
292,591,2026-05-09,Invoice Query,Resolved
293,657,2025-07-20,Pricing Query,Resolved
294,234,2026-04-21,Credit Limit,Waiting Customer
295,792,2025-08-25,Pricing Query,Resolved
296,335,2026-03-31,Complaint,Open
297,503,2026-05-28,Credit Limit,Resolved
298,499,2025-11-03,Pricing Query,Resolved
299,687,2026-06-09,Portal Login,Open
300,606,2026-05-16,Network Acceptance,Open
301,829,2025-09-11,Credit Limit,Resolved
302,397,2026-01-21,Portal Login,Waiting Customer
303,384,2025-12-30,Portal Login,Resolved
304,304,2025-08-26,Complaint,Resolved
305,519,2025-04-19,Portal Login,Open
306,82,2025-05-25,Network Acceptance,Open
307,284,2026-03-05,Credit Limit,Open
308,474,2025-11-08,Pricing Query,Resolved
309,304,2025-09-01,Network Acceptance,Resolved
310,7,2026-04-20,Complaint,Resolved
311,3,2025-09-28,Network Acceptance,Open
312,507,2025-03-05,Network Acceptance,Waiting Customer
313,363,2026-03-07,Invoice Query,Waiting Customer
314,362,2026-02-02,Pricing Query,Resolved
315,474,2025-10-21,Portal Login,Resolved
316,380,2026-02-19,Complaint,Resolved
317,752,2025-10-27,Invoice Query,Open
318,632,2025-07-09,Portal Login,Waiting Customer
319,238,2025-03-03,Card Issue,Resolved
320,172,2026-05-28,Portal Login,Waiting Customer
321,11,2026-06-24,Portal Login,Resolved
322,399,2025-07-06,Pricing Query,Resolved
323,809,2025-06-18,Invoice Query,Waiting Customer
324,181,2025-03-01,Complaint,Waiting Customer
325,427,2025-02-14,Invoice Query,Open
326,156,2025-07-19,Credit Limit,Resolved
327,109,2025-01-03,Complaint,Open
328,505,2025-01-29,Credit Limit,Waiting Customer
329,430,2025-05-18,Network Acceptance,Open
330,244,2025-03-19,Portal Login,Open
331,531,2025-07-14,Portal Login,Resolved
332,463,2025-05-23,Invoice Query,Resolved
333,343,2025-09-01,Complaint,Waiting Customer
334,379,2025-04-18,Pricing Query,Resolved
335,248,2025-09-19,Pricing Query,Resolved
336,544,2026-03-14,Invoice Query,Resolved
337,461,2026-05-14,Invoice Query,Resolved
338,569,2025-02-19,Portal Login,Resolved
339,164,2026-04-07,Credit Limit,Resolved
340,69,2025-03-06,Complaint,Resolved
341,567,2026-01-29,Complaint,Waiting Customer
342,150,2026-06-18,Invoice Query,Resolved
343,110,2026-01-18,Credit Limit,Waiting Customer
344,10,2026-01-26,Pricing Query,Open
345,361,2025-07-05,Credit Limit,Resolved
346,761,2025-01-05,Complaint,Resolved
347,273,2025-09-04,Portal Login,Open
348,80,2025-11-14,Complaint,Open
349,748,2025-02-11,Pricing Query,Resolved
350,602,2025-04-07,Invoice Query,Resolved
351,217,2025-04-18,Card Issue,Open
352,318,2026-04-04,Invoice Query,Resolved
353,312,2025-09-20,Complaint,Resolved
354,489,2025-12-21,Invoice Query,Resolved
355,659,2026-01-19,Invoice Query,Resolved
356,443,2026-01-31,Card Issue,Resolved
357,320,2025-02-14,Pricing Query,Open
358,737,2025-08-07,Credit Limit,Resolved
359,376,2025-11-20,Card Issue,Resolved
360,152,2025-03-21,Complaint,Resolved
361,199,2025-03-27,Pricing Query,Open
362,541,2026-04-04,Pricing Query,Open
363,587,2026-02-19,Card Issue,Waiting Customer
364,466,2026-06-01,Invoice Query,Resolved
365,195,2025-02-12,Invoice Query,Resolved
366,254,2025-09-26,Pricing Query,Waiting Customer
367,843,2026-01-16,Network Acceptance,Waiting Customer
368,239,2026-02-18,Card Issue,Resolved
369,704,2025-11-21,Complaint,Resolved
370,797,2025-11-19,Portal Login,Resolved
371,456,2025-11-01,,Resolved
372,142,2025-05-19,Invoice Query,Open
373,713,2026-02-12,,Open
374,377,2025-12-17,Complaint,Open
375,746,2026-04-18,Card Issue,Resolved
376,286,2025-11-19,Invoice Query,Resolved
377,89,2025-08-01,Credit Limit,Resolved
378,458,2026-04-18,Complaint,Resolved
379,149,2025-07-10,Complaint,Open
380,154,2026-04-06,Network Acceptance,Resolved
381,261,2026-02-02,Portal Login,Resolved
382,84,2025-01-06,Network Acceptance,Waiting Customer
383,210,2026-05-06,Complaint,Waiting Customer
384,491,2026-04-08,Network Acceptance,Waiting Customer
385,742,2025-05-22,Pricing Query,Resolved
386,753,2025-01-31,Complaint,Waiting Customer
387,129,2026-05-22,Portal Login,Resolved
388,365,2026-06-03,Invoice Query,Open
389,270,2026-02-26,Card Issue,Resolved
390,526,2025-02-10,Card Issue,Waiting Customer
391,282,2025-08-22,,Resolved
392,156,2025-01-21,Card Issue,Resolved
393,53,2025-07-20,Invoice Query,Open
394,446,2026-04-16,Portal Login,Resolved
395,565,2025-02-18,Network Acceptance,Resolved
396,544,2025-02-28,Invoice Query,Waiting Customer
397,551,2025-04-28,Network Acceptance,Resolved
398,8,2026-06-18,Complaint,Waiting Customer
399,299,2025-09-12,Network Acceptance,Resolved
400,743,2025-08-19,Card Issue,Resolved
401,300,2025-03-13,Credit Limit,Resolved
402,302,2025-04-11,Credit Limit,Open
403,330,2025-09-20,Invoice Query,Waiting Customer
404,486,2026-02-16,Card Issue,Open
405,381,2025-12-11,Complaint,Resolved
406,73,2025-04-08,Pricing Query,Waiting Customer
407,441,2026-02-24,Complaint,Open
408,189,2025-12-05,Pricing Query,Open
409,23,2026-04-29,Invoice Query,Resolved
410,656,2026-04-15,Card Issue,Resolved
411,306,2025-03-30,Invoice Query,Open
412,692,2025-12-01,Credit Limit,Open
413,546,2025-11-26,Credit Limit,Resolved
414,769,2025-09-18,Pricing Query,Resolved
415,33,2025-10-20,Credit Limit,Resolved
416,444,2025-07-08,Portal Login,Resolved
417,86,2026-01-23,Invoice Query,Resolved
418,546,2026-02-19,Invoice Query,Resolved
419,351,2025-09-12,Complaint,Resolved
420,455,2025-10-16,Complaint,Open
421,396,2025-10-25,Invoice Query,Resolved
422,824,2026-03-17,Complaint,Resolved
423,313,2025-06-17,Invoice Query,Waiting Customer
424,564,2025-06-25,Credit Limit,Resolved
425,132,2026-01-29,Network Acceptance,Resolved
426,620,2025-05-02,Network Acceptance,Resolved
427,554,2026-04-15,Network Acceptance,Resolved
428,481,2025-11-18,Card Issue,Resolved
429,693,2026-02-27,Credit Limit,Resolved
430,5,2026-02-10,Pricing Query,Open
431,435,2026-04-20,Invoice Query,Open
432,183,2026-03-24,Portal Login,Resolved
433,519,2025-04-02,Pricing Query,Waiting Customer
434,818,2026-02-17,Pricing Query,Waiting Customer
435,789,2025-10-18,Invoice Query,Open
436,816,2025-09-25,Complaint,Waiting Customer
437,303,2026-04-17,Card Issue,Resolved
438,115,2025-04-21,Complaint,Resolved
439,111,2025-10-05,Credit Limit,Resolved
440,451,2025-03-16,Invoice Query,Resolved
441,204,2026-04-13,Portal Login,Waiting Customer
442,227,2025-06-28,Invoice Query,Open
443,814,2025-02-11,Network Acceptance,Open
444,740,2025-09-08,Credit Limit,Waiting Customer
445,639,2025-01-30,Complaint,Open
446,280,2026-05-15,Card Issue,Waiting Customer
447,172,2026-01-14,Invoice Query,Open
448,220,2026-06-13,Pricing Query,Waiting Customer
449,792,2026-04-10,Credit Limit,Waiting Customer
450,122,2025-03-23,Portal Login,Waiting Customer
451,226,2025-01-22,Complaint,Open
452,503,2026-05-17,Pricing Query,Resolved
453,742,2025-10-06,Card Issue,Waiting Customer
454,361,2025-01-16,Invoice Query,Open
455,255,2025-02-12,Pricing Query,Open
456,361,2025-10-20,Complaint,Resolved
457,403,2025-05-23,Pricing Query,Resolved
458,161,2026-05-06,Pricing Query,Resolved
459,719,2025-10-05,Credit Limit,Resolved
460,719,2026-05-28,Pricing Query,Resolved
461,350,2026-06-04,Credit Limit,Open
462,812,2025-10-26,Pricing Query,Open
463,208,2025-01-18,Card Issue,Waiting Customer
464,148,2026-04-15,Pricing Query,Resolved
465,160,2025-04-06,Invoice Query,Open
466,345,2025-03-21,Complaint,Waiting Customer
467,541,2025-04-04,Credit Limit,Resolved
468,495,2025-03-18,Pricing Query,Resolved
469,759,2025-03-31,Pricing Query,Resolved
470,210,2026-02-22,Pricing Query,Waiting Customer
471,302,2026-02-15,Pricing Query,Open
472,341,2026-03-10,Portal Login,Resolved
473,791,2025-06-12,Card Issue,Open
474,674,2026-04-24,Pricing Query,Resolved
475,267,2026-04-02,Pricing Query,Resolved
476,9,2025-10-15,Invoice Query,Waiting Customer
477,555,2025-04-05,Credit Limit,Waiting Customer
478,64,2025-09-15,Portal Login,Resolved
479,598,2026-05-26,Complaint,Resolved
480,671,2025-12-15,Card Issue,Resolved
481,469,2025-11-05,Network Acceptance,Open
482,288,2025-06-09,Network Acceptance,Resolved
483,397,2025-08-07,Network Acceptance,Resolved
484,803,2026-05-15,Card Issue,Waiting Customer
485,487,2026-06-09,Credit Limit,Resolved
486,842,2025-06-15,Pricing Query,Waiting Customer
487,302,2025-09-06,Portal Login,Resolved
488,572,2026-05-05,Portal Login,Open
489,327,2025-04-09,Pricing Query,Waiting Customer
490,498,2026-05-13,Network Acceptance,Resolved
491,454,2026-05-24,Credit Limit,Resolved
492,401,2026-04-03,Network Acceptance,Resolved
493,628,2025-02-24,Credit Limit,Open
494,108,2026-05-11,Network Acceptance,Resolved
495,251,2025-07-14,Network Acceptance,Open
496,787,2025-02-01,Pricing Query,Resolved
497,467,2026-04-22,,Waiting Customer
498,505,2025-12-15,Invoice Query,Resolved
499,445,2025-08-21,Network Acceptance,Waiting Customer
500,431,2025-06-27,Pricing Query,Resolved
501,810,2025-06-04,Pricing Query,Open
502,429,2025-11-04,Invoice Query,Waiting Customer
503,507,2026-06-21,Invoice Query,Waiting Customer
504,233,2025-05-18,Card Issue,Resolved
505,6,2026-04-02,Credit Limit,Resolved
506,639,2026-05-17,Card Issue,Open
507,642,2025-11-27,Complaint,Resolved
508,701,2025-02-28,Invoice Query,Waiting Customer
509,602,2025-04-28,Card Issue,Open
510,252,2025-12-25,Complaint,Waiting Customer
511,746,2025-11-24,Portal Login,Resolved
512,553,2025-11-27,Pricing Query,Resolved
513,193,2025-08-15,Complaint,Open
514,739,2025-04-15,Card Issue,Resolved
515,339,2025-08-11,Portal Login,Open
516,630,2025-11-27,Credit Limit,Resolved
517,312,2025-03-05,Invoice Query,Open
518,105,2026-06-14,Card Issue,Resolved
519,586,2026-05-12,Pricing Query,Waiting Customer
520,648,2025-08-26,Portal Login,Waiting Customer
521,833,2025-09-11,Credit Limit,Resolved
522,413,2025-11-23,Complaint,Resolved
523,482,2026-02-25,Complaint,Waiting Customer
524,580,2025-07-14,Network Acceptance,Open
525,97,2026-06-19,Card Issue,Waiting Customer
526,607,2025-09-06,,Open
527,64,2025-12-22,Complaint,Resolved
528,770,2025-04-06,Card Issue,Open
529,238,2025-06-28,Credit Limit,Waiting Customer
530,656,2026-05-09,Pricing Query,Resolved
531,11,2026-06-29,Credit Limit,Resolved
532,537,2025-07-09,Card Issue,Resolved
533,778,2026-06-01,Card Issue,Waiting Customer
534,658,2026-06-13,Portal Login,Open
535,653,2026-05-31,Network Acceptance,Resolved
536,371,2025-01-11,Card Issue,Waiting Customer
537,226,2025-07-11,Network Acceptance,Resolved
538,720,2025-08-14,Card Issue,Resolved
539,350,2025-02-18,Portal Login,Resolved
540,786,2025-05-11,Invoice Query,Open
541,492,2025-02-21,Pricing Query,Waiting Customer
542,181,2026-05-27,Network Acceptance,Resolved
543,109,2025-02-07,Pricing Query,Resolved
544,20,2025-12-31,Invoice Query,Resolved
545,715,2025-07-22,Complaint,Resolved
546,708,2026-04-16,Card Issue,Resolved
547,305,2025-07-30,Invoice Query,Waiting Customer
548,182,2025-10-25,Credit Limit,Resolved
549,181,2025-03-18,Portal Login,Resolved
550,2,2026-05-03,Card Issue,Resolved
551,85,2025-10-01,Network Acceptance,Open
552,348,2026-03-05,Credit Limit,Resolved
553,234,2025-01-03,Credit Limit,Resolved
554,583,2025-02-21,Portal Login,Resolved
555,500,2025-09-09,Credit Limit,Resolved
556,267,2026-02-20,Portal Login,Waiting Customer
557,291,2025-03-23,Complaint,Resolved
558,40,2026-04-25,Network Acceptance,Open
559,419,2025-07-26,Complaint,Resolved
560,256,2025-10-18,Pricing Query,Waiting Customer
561,159,2025-09-19,Credit Limit,Waiting Customer
562,109,2025-07-21,Portal Login,Open
563,540,2026-02-28,Network Acceptance,Resolved
564,113,2025-06-13,Pricing Query,Open
565,212,2025-05-01,Invoice Query,Resolved
566,51,2026-03-22,Network Acceptance,Waiting Customer
567,104,2025-06-16,,Open
568,682,2026-05-17,Pricing Query,Waiting Customer
569,370,2026-03-23,Invoice Query,Open
570,651,2025-01-04,Invoice Query,Waiting Customer
571,47,2025-07-27,Invoice Query,Resolved
572,712,2025-10-30,Credit Limit,Open
573,197,2026-03-06,Pricing Query,Resolved
574,701,2025-07-16,Pricing Query,Resolved
575,401,2025-04-16,Card Issue,Waiting Customer
576,820,2026-03-04,Network Acceptance,Resolved
577,577,2025-06-08,Card Issue,Resolved
578,31,2025-02-03,Network Acceptance,Open
579,744,2026-06-28,Network Acceptance,Waiting Customer
580,366,2025-03-08,Complaint,Open
581,140,2025-05-14,Card Issue,Resolved
582,465,2026-05-08,Card Issue,Waiting Customer
583,813,2026-02-17,Network Acceptance,Resolved
584,204,2025-12-02,Complaint,Open
585,458,2025-01-26,Complaint,Resolved
586,527,2026-02-09,Complaint,Waiting Customer
587,782,2026-05-29,,Waiting Customer
588,166,2025-02-08,Portal Login,Resolved
589,149,2025-02-18,Invoice Query,Resolved
590,50,2025-05-06,Credit Limit,Resolved
591,271,2026-01-16,Portal Login,Resolved
592,533,2025-04-28,Network Acceptance,Resolved
593,622,2026-03-07,Portal Login,Resolved
594,147,2025-11-27,Credit Limit,Resolved
595,495,2026-04-28,Credit Limit,Waiting Customer
596,374,2025-04-27,Network Acceptance,Open
597,121,2025-04-21,Credit Limit,Waiting Customer
598,127,2026-06-17,Network Acceptance,Resolved
599,744,2025-01-28,Complaint,Waiting Customer
600,69,2025-09-09,Complaint,Resolved
601,113,2025-06-16,Complaint,Open
602,827,2026-05-04,Complaint,Resolved
603,533,2026-03-27,Pricing Query,Resolved
604,455,2025-09-26,Pricing Query,Open
605,836,2025-06-15,Portal Login,Waiting Customer
606,837,2025-09-25,Invoice Query,Open
607,313,2025-09-16,Network Acceptance,Open
608,516,2026-01-01,Invoice Query,Waiting Customer
609,125,2025-06-08,Invoice Query,Resolved
610,428,2026-05-07,Pricing Query,Resolved
611,539,2026-02-05,Card Issue,Resolved
612,622,2025-12-19,Portal Login,Resolved
