TargetID,MonthStart,AccountManagerID,VolumeTarget,NetRevenueTarget,NewCustomerTarget
146,2025-02-01,9,422321,34929.86,10
147,2025-03-01,9,291045,19238.18,6
148,2025-04-01,9,364378,26123.22,20
149,2025-05-01,9,279034,20231.43,6
150,2025-06-01,9,369019,28592.66,17
151,2025-07-01,9,403893,31870.7,16
152,2025-08-01,9,469740,39857.11,15
153,2025-09-01,9,408345,29867.48,7
154,2025-10-01,9,308233,24515.34,15
155,2025-11-01,9,494762,35046.8,19
156,2025-12-01,9,320226,23463.72,18
157,2026-01-01,9,228971,16227.39,19
158,2026-02-01,9,515438,37685.75,8
159,2026-03-01,9,468998,34743.92,9
160,2026-04-01,9,345989,23154.12,11
161,2026-05-01,9,508180,38896.88,7
162,2026-06-01,9,389735,27761.87,5
163,2025-01-01,10,429134,35632.64,12
164,2025-02-01,10,275231,23391.19,15
165,2025-03-01,10,473122,36873.75,8
166,2025-04-01,10,445984,34618.13,10
167,2025-05-01,10,314655,26307.79,5
168,2025-06-01,10,223323,15570.4,11
169,2025-07-01,10,390316,32103.73,9
170,2025-08-01,10,397172,26957.25,17
171,2025-09-01,10,199637,14054.8,6
172,2025-10-01,10,447585,34576.08,9
173,2025-11-01,10,428913,28889.16,6
174,2025-12-01,10,392902,29276.38,18
175,2026-01-01,10,431498,34253.53,13
176,2026-02-01,10,270427,18988.59,7
177,2026-03-01,10,256783,18811.6,10
178,2026-04-01,10,471674,35908.34,11
179,2026-05-01,10,464683,31286.06,14
180,2026-06-01,10,432837,35847.1,14
181,2025-01-01,11,397308,31008.4,12
182,2025-02-01,11,494275,33766.99,6
183,2025-03-01,11,180074,14355.59,13
184,2025-04-01,11,515859,34154.85,7
185,2025-05-01,11,181600,12722.34,5
186,2025-06-01,11,361535,24562.3,6
187,2025-07-01,11,300793,21877.36,11
188,2025-08-01,11,489310,33608.13,12
189,2025-09-01,11,430467,35974.95,16
190,2025-10-01,11,419430,29237.62,12
191,2025-11-01,11,334570,24981.72,13
192,2025-12-01,11,508900,39830.38,18
193,2026-01-01,11,382886,30580.39,11
194,2026-02-01,11,461919,39138.93,9
195,2026-03-01,11,504207,39505.87,12
196,2026-04-01,11,193884,15440.81,16
197,2026-05-01,11,315709,21251.95,14
198,2026-06-01,11,391343,30814.86,8
199,2025-01-01,12,381752,29680.45,16
200,2025-02-01,12,415754,27798.71,15
201,2025-03-01,12,400531,26451.69,15
202,2025-04-01,12,293088,20099.11,16
203,2025-05-01,12,355937,24696.94,15
204,2025-06-01,12,318317,25716.12,5
205,2025-07-01,12,430572,34557.32,8
206,2025-08-01,12,258431,19018.85,17
207,2025-09-01,12,503634,37349.46,10
208,2025-10-01,12,203970,15085.78,13
209,2025-11-01,12,347896,26553.63,14
210,2025-12-01,12,201773,16757.32,6
211,2026-01-01,12,270764,17906.15,9
212,2026-02-01,12,456168,29866.27,10
213,2026-03-01,12,237314,18736.31,11
214,2026-04-01,12,312877,23622.35,8
215,2026-05-01,12,461794,32390.53,15
216,2026-06-01,12,197420,14005.78,12
